AR   ,A 
AR   ,B 
AR   ,C 
AR   ,D 
AR   ,E 
AR   ,F 
AR   ,G 
AR   ,H 
AR   ,J 
AR   ,K 
AR   ,L 
AR   ,M 
AR   ,N 
AR   ,P 
AR   ,Q 
AR   ,R 
AR   ,S 
AR   ,T 
AR   ,U 
AR   ,V 
AR   ,W 
AR   ,X 
AR   ,Y 
AR   ,Z 
AU   ,ACT 
AU   ,NSW 
AU   ,NT 
AU   ,QLD 
AU   ,SA 
AU   ,TAS 
AU   ,VIC 
AU   ,WA 
AT   ,1
AT   ,2
AT   ,3
AT   ,4
AT   ,5
AT   ,6
AT   ,7
AT   ,8
AT   ,9
BH   ,13
BH   ,14
BH   ,15
BH   ,16
BH   ,17
BE   ,BRU 
BE   ,VAN 
BE   ,VBR 
BE   ,VLG 
BE   ,VLI 
BE   ,VOV 
BE   ,VWV 
BE   ,WAL 
BE   ,WBR 
BE   ,WHT 
BE   ,WLG 
BE   ,WLX 
BE   ,WNA 
BR   ,AC 
BR   ,AL 
BR   ,AM 
BR   ,AP 
BR   ,BA 
BR   ,CE 
BR   ,DF 
BR   ,ES 
BR   ,GO 
BR   ,MA 
BR   ,MG 
BR   ,MS 
BR   ,MT 
BR   ,PA 
BR   ,PB 
BR   ,PE 
BR   ,PI 
BR   ,PR 
BR   ,RJ 
BR   ,RN 
BR   ,RO 
BR   ,RR 
BR   ,RS 
BR   ,SC 
BR   ,SE 
BR   ,SP 
BR   ,TO 
CA   ,AB 
CA   ,BC 
CA   ,MB 
CA   ,NB 
CA   ,NL 
CA   ,NS 
CA   ,NT 
CA   ,NU 
CA   ,ON 
CA   ,PE 
CA   ,QC 
CA   ,SK 
CA   ,YT 
CL   ,AI 
CL   ,AN 
CL   ,AP 
CL   ,AR 
CL   ,AT 
CL   ,BI 
CL   ,CO 
CL   ,LI 
CL   ,LL 
CL   ,LR 
CL   ,MA 
CL   ,ML 
CL   ,RM 
CL   ,TA 
CL   ,VS 
CN   ,11
CN   ,12
CN   ,13
CN   ,14
CN   ,15
CN   ,21
CN   ,22
CN   ,23
CN   ,31
CN   ,32
CN   ,33
CN   ,34
CN   ,35
CN   ,36
CN   ,37
CN   ,41
CN   ,42
CN   ,43
CN   ,44
CN   ,45
CN   ,46
CN   ,50
CN   ,51
CN   ,52
CN   ,53
CN   ,54
CN   ,61
CN   ,62
CN   ,63
CN   ,64
CN   ,65
CN   ,71
CN   ,91
CN   ,92
CO   ,AMA 
CO   ,ANT 
CO   ,ARA 
CO   ,ATL 
CO   ,BOL 
CO   ,BOY 
CO   ,CAL 
CO   ,CAQ 
CO   ,CAS 
CO   ,CAU 
CO   ,CES 
CO   ,CHO 
CO   ,COR 
CO   ,CUN 
CO   ,DC 
CO   ,GUA 
CO   ,GUV 
CO   ,HUI 
CO   ,LAG 
CO   ,MAG 
CO   ,MET 
CO   ,NAR 
CO   ,NSA 
CO   ,PUT 
CO   ,QUI 
CO   ,RIS 
CO   ,SAN 
CO   ,SAP 
CO   ,SUC 
CO   ,TOL 
CO   ,VAC 
CO   ,VAU 
CO   ,VID 
CR   ,A 
CR   ,C 
CR   ,G 
CR   ,H 
CR   ,L 
CR   ,P 
CR   ,SJ 
CZ   ,JC 
CZ   ,JM 
CZ   ,KA 
CZ   ,KR 
CZ   ,LI 
CZ   ,MO 
CZ   ,OL 
CZ   ,PA 
CZ   ,PL 
CZ   ,PR 
CZ   ,ST 
CZ   ,US 
CZ   ,VY 
CZ   ,ZL 
DK   ,81
DK   ,82
DK   ,83
DK   ,84
DK   ,85
EC   ,A 
EC   ,B 
EC   ,C 
EC   ,D 
EC   ,E 
EC   ,F 
EC   ,G 
EC   ,H 
EC   ,I 
EC   ,L 
EC   ,M 
EC   ,N 
EC   ,O 
EC   ,P 
EC   ,R 
EC   ,S 
EC   ,SD 
EC   ,SE 
EC   ,T 
EC   ,U 
EC   ,W 
EC   ,X 
EC   ,Y 
EC   ,Z 
EG   ,ALX 
EG   ,ASN 
EG   ,AST 
EG   ,BA 
EG   ,BH 
EG   ,BNS 
EG   ,C 
EG   ,DK 
EG   ,DT 
EG   ,FYM 
EG   ,GH 
EG   ,GZ 
EG   ,HU 
EG   ,IS 
EG   ,JS 
EG   ,KB 
EG   ,KFS 
EG   ,KN 
EG   ,LX 
EG   ,MN 
EG   ,MNF 
EG   ,MT 
EG   ,PTS 
EG   ,SHG 
EG   ,SHR 
EG   ,SIN 
EG   ,SU 
EG   ,SUZ 
EG   ,WAD 
FI   ,1
FI   ,2
FI   ,3
FI   ,4
FI   ,5
FI   ,6
FI   ,7
FI   ,8
FI   ,9
FI   ,10
FI   ,11
FI   ,12
FI   ,13
FI   ,14
FI   ,15
FI   ,16
FI   ,17
FI   ,18
FI   ,19
FR   ,CP 
FR   ,1
FR   ,2
FR   ,3
FR   ,4
FR   ,5
FR   ,6
FR   ,7
FR   ,8
FR   ,9
FR   ,10
FR   ,11
FR   ,12
FR   ,13
FR   ,14
FR   ,15
FR   ,16
FR   ,17
FR   ,18
FR   ,19
FR   ,21
FR   ,22
FR   ,23
FR   ,24
FR   ,25
FR   ,26
FR   ,27
FR   ,28
FR   ,29
FR   ,2A 
FR   ,2B 
FR   ,30
FR   ,31
FR   ,32
FR   ,33
FR   ,34
FR   ,35
FR   ,36
FR   ,37
FR   ,38
FR   ,39
FR   ,40
FR   ,41
FR   ,42
FR   ,43
FR   ,44
FR   ,45
FR   ,46
FR   ,47
FR   ,48
FR   ,49
FR   ,50
FR   ,51
FR   ,52
FR   ,53
FR   ,54
FR   ,55
FR   ,56
FR   ,57
FR   ,58
FR   ,59
FR   ,60
FR   ,61
FR   ,62
FR   ,63
FR   ,64
FR   ,65
FR   ,66
FR   ,67
FR   ,68
FR   ,69
FR   ,70
FR   ,71
FR   ,72
FR   ,73
FR   ,74
FR   ,75
FR   ,76
FR   ,77
FR   ,78
FR   ,79
FR   ,80
FR   ,81
FR   ,82
FR   ,83
FR   ,84
FR   ,85
FR   ,86
FR   ,87
FR   ,88
FR   ,89
FR   ,90
FR   ,91
FR   ,92
FR   ,93
FR   ,94
FR   ,95
DE   ,BB 
DE   ,BE 
DE   ,BW 
DE   ,BY 
DE   ,HB 
DE   ,HE 
DE   ,HH 
